team,fplAdv_nxtGWs,fplPlayer1,fplPlayer2,fplPlayer3,fplPlayer4,fplPlayer5
LIV,9,"Luis Díaz (MID, ^^) ==> (10.75, 10.75)","M.Salah (MID, v) ==> (9.05, 9.05)","Alexander-Arnold (DEF, ^^^) ==> (6.2, 6.2)","Konaté (DEF, ^^) ==> (5.05, 5.05)","Virgil (DEF, ~) ==> (4.75, 4.75)"
ARS,5,"Gabriel (DEF, ~) ==> (7.6, 5.911)","Saka (MID, v) ==> (6.35, 4.939)","Raya (GKP, v) ==> (5.8, 4.511)","Havertz (FWD, v) ==> (4.6, 3.578)","White (DEF, vv) ==> (3.6, 2.8)"
MCI,4,"Haaland (FWD, v) ==> (12.8, 9.244)","Sávio (MID, ^^^) ==> (3.6, 2.6)","Ederson M. (GKP, vv) ==> (3.4, 2.456)","Kovačić (MID, ^^^) ==> (3.35, 2.419)","Bernardo (MID, vv) ==> (3.2, 2.311)"
AVL,4,"Watkins (FWD, ~) ==> (6.8, 4.911)","Duran (FWD, ~) ==> (5.5, 3.972)","Onana (MID, v) ==> (4.3, 3.106)","Rogers (MID, ^^^) ==> (4.15, 2.997)","Digne (DEF, vv) ==> (3.6, 2.6)"
BRE,3,"Mbeumo (MID, ~) ==> (7.4, 4.933)","Wissa (FWD, vv) ==> (6.0, 4.0)","Flekken (GKP, ~) ==> (2.85, 1.9)","Lewis-Potter (MID, ^^^) ==> (2.45, 1.633)","Schade (MID, v) ==> (2.45, 1.633)"
CHE,2,"Sánchez (GKP, ^^) ==> (7.5, 4.583)","N.Jackson (FWD, ^^^) ==> (7.35, 4.492)","Palmer (MID, ~) ==> (6.45, 3.942)","Colwill (DEF, ^^^) ==> (3.95, 2.414)","Cucurella (DEF, ^^^) ==> (3.4, 2.078)"
MUN,2,"Onana (GKP, ^^) ==> (6.85, 4.186)","Dalot (DEF, ^^) ==> (6.4, 3.911)","De Ligt (DEF, ~) ==> (5.8, 3.544)","Mazraoui (DEF, ^) ==> (4.65, 2.842)","Martinez (DEF, ^^) ==> (3.75, 2.292)"
CRY,2,"Mateta (FWD, vv) ==> (4.55, 2.781)","Eze (MID, ~) ==> (4.4, 2.689)","Henderson (GKP, ^^^) ==> (4.05, 2.475)","Mitchell (DEF, ^^^) ==> (3.4, 2.078)","Lacroix (DEF, ^^^) ==> (3.0, 1.833)"
BOU,2,"Sinisterra (MID, vv) ==> (3.75, 2.292)","Semenyo (MID, v) ==> (3.7, 2.261)","Tavernier (MID, v) ==> (2.95, 1.803)","Arrizabalaga (GKP, ^^^) ==> (2.9, 1.772)","Cook (MID, vv) ==> (2.7, 1.65)"
NFO,1,"Wood (FWD, ^^) ==> (6.05, 3.361)","Sels (GKP, vv) ==> (4.1, 2.278)","Hudson-Odoi (MID, ~) ==> (4.05, 2.25)","Aina (DEF, vv) ==> (3.65, 2.028)","Milenković (DEF, vv) ==> (3.4, 1.889)"
FUL,-1,"Smith Rowe (MID, ~) ==> (5.85, 2.6)","Adama (MID, ~) ==> (4.8, 2.133)","Raúl (FWD, ^^) ==> (4.45, 1.978)","Iwobi (MID, ^^) ==> (4.2, 1.867)","Robinson (DEF, v) ==> (3.05, 1.356)"
BHA,-2,"Welbeck (FWD, ~) ==> (4.75, 1.847)","Hinshelwood (MID, ^^^) ==> (4.25, 1.653)","Mitoma (MID, ~) ==> (4.05, 1.575)","Van Hecke (DEF, ~) ==> (3.9, 1.517)","João Pedro (FWD, vv) ==> (3.9, 1.517)"
TOT,-2,"Son (MID, ^) ==> (5.8, 2.256)","Maddison (MID, ^^^) ==> (5.1, 1.983)","Johnson (MID, ^^^) ==> (3.95, 1.536)","Solanke (FWD, ^^^) ==> (3.0, 1.167)","Romero (DEF, vv) ==> (2.95, 1.147)"
EVE,-2,"Calvert-Lewin (FWD, vv) ==> (5.75, 2.236)","McNeil (MID, vv) ==> (5.75, 2.236)","Ndiaye (FWD, ^^^) ==> (3.15, 1.225)","Keane (DEF, v) ==> (2.25, 0.875)","Pickford (GKP, ~) ==> (1.8, 0.7)"
SOU,-2,"Dibling (MID, ^^^) ==> (3.95, 1.536)","Lallana (MID, ^^) ==> (3.0, 1.167)","Sugawara (DEF, ~) ==> (2.95, 1.147)","Ramsdale (GKP, ^) ==> (2.7, 1.05)","M.Fernandes (MID, ^^^) ==> (1.9, 0.739)"
